RECORDEDATTIME,DIRECTIONREF,VEHICLEREF,VEHICLELOCATION_LATITUDE,VEHICLELOCATION_LONGITUDE,EXPECTEDARRIVALTIME,SCHEDULEDARRIVALTIME
01-06-2017 00:03,1,NYCT_8255,40.596778,-74.070467,01-06-2017 00:04,23:58:26
01-06-2017 00:03,0,NYCT_5215,40.75846,-73.992709,01-06-2017 00:04,24:00:38
01-06-2017 00:03,0,NYCT_6811,40.673699,-73.922434,01-06-2017 00:03,23:59:39
01-06-2017 00:03,1,NYCT_4131,40.781516,-73.784344,01-06-2017 00:04,24:05:00
01-06-2017 00:03,0,NYCT_4575,40.609818,-73.943635,01-06-2017 00:03,24:00:56
01-06-2017 00:03,1,NYCT_8224,40.55991,-74.101733,NA,23:56:55
01-06-2017 00:03,1,NYCT_6720,40.737063,-74.005771,NA,NA
01-06-2017 00:03,0,NYCT_4746,40.876992,-73.906162,01-06-2017 00:05,23:48:37
01-06-2017 00:03,1,NYCT_4686,40.750554,-73.99094,01-06-2017 00:04,23:59:00
01-06-2017 00:03,0,NYCT_5257,40.820097,-73.892318,01-06-2017 00:04,24:06:00
01-06-2017 00:03,1,NYCT_4045,40.713265,-73.872778,01-06-2017 00:04,24:03:37
01-06-2017 00:03,1,NYCT_3825,40.76038,-73.967831,01-06-2017 00:03,23:59:40
01-06-2017 00:03,1,NYCT_433,40.671009,-73.990098,01-06-2017 00:03,24:06:55
01-06-2017 00:03,0,NYCT_8221,40.636117,-74.166177,NA,24:02:00
01-06-2017 00:03,1,NYCT_2557,40.759127,-73.978602,01-06-2017 00:06,24:06:13
01-06-2017 00:03,1,NYCT_5884,40.701565,-74.012147,01-06-2017 00:03,23:48:00
01-06-2017 00:03,0,NYCT_4336,40.884187,-73.898232,01-06-2017 00:03,23:54:20
01-06-2017 00:03,0,NYCT_3966,40.706406,-73.931576,01-06-2017 00:03,23:10:06
01-06-2017 00:03,1,NYCT_690,40.824144,-73.9137,01-06-2017 00:03,24:05:00
01-06-2017 00:03,1,NYCT_6493,40.736365,-73.878231,01-06-2017 00:03,23:34:00
01-06-2017 00:03,1,NYCT_4930,40.688598,-73.983082,01-06-2017 00:04,23:59:42
01-06-2017 00:03,1,NYCT_5625,40.774209,-73.959443,01-06-2017 00:04,23:59:51
01-06-2017 00:03,1,NYCT_5543,40.777851,-73.956786,01-06-2017 00:03,24:03:47
01-06-2017 00:03,0,NYCT_4376,40.865237,-73.927081,01-06-2017 00:04,24:05:17
01-06-2017 00:03,1,NYCT_7077,40.640018,-74.076569,01-06-2017 00:03,24:04:05
01-06-2017 00:03,0,NYCT_278,40.859585,-73.889577,01-06-2017 00:04,24:03:00
01-06-2017 00:03,0,NYCT_7151,40.633125,-73.923898,01-06-2017 00:04,24:05:48
01-06-2017 00:03,1,NYCT_8495,40.756406,-73.762391,01-06-2017 00:03,23:58:44
01-06-2017 00:03,1,NYCT_7407,40.760939,-73.829285,01-06-2017 00:05,24:07:00
01-06-2017 00:03,1,NYCT_4798,40.857313,-73.864687,01-06-2017 00:04,24:00:00
01-06-2017 00:03,0,NYCT_8124,40.527914,-74.164838,01-06-2017 00:03,24:08:04
01-06-2017 00:03,0,NYCT_8287,40.632717,-74.116481,01-06-2017 00:03,24:03:30
01-06-2017 00:03,1,NYCT_4404,40.903385,-73.905306,01-06-2017 00:03,24:02:44
01-06-2017 00:03,1,NYCT_8308,40.619496,-74.154074,01-06-2017 00:03,23:58:33
01-06-2017 00:03,0,NYCT_5722,40.848094,-73.900677,01-06-2017 00:04,24:03:02
01-06-2017 00:03,1,NYCT_4368,40.872636,-73.912248,01-06-2017 00:04,24:08:49
01-06-2017 00:03,1,NYCT_4358,40.853079,-73.934253,01-06-2017 00:03,24:01:43
01-06-2017 00:03,0,NYCT_4451,40.669019,-73.867058,01-06-2017 00:03,24:03:27
01-06-2017 00:03,0,NYCT_4835,40.671657,-73.950699,01-06-2017 00:04,24:07:00
01-06-2017 00:03,1,NYCT_7053,40.61679,-74.027213,01-06-2017 00:03,24:03:00
01-06-2017 00:03,1,NYCT_6722,40.802094,-73.953463,01-06-2017 00:03,23:54:17
01-06-2017 00:03,0,NYCT_5911,40.768115,-73.826797,01-06-2017 00:04,23:52:56
01-06-2017 00:03,0,NYCT_5986,40.733219,-73.974631,01-06-2017 00:03,24:01:00
01-06-2017 00:03,1,NYCT_302,40.819982,-73.901489,01-06-2017 00:03,24:01:00
01-06-2017 00:03,0,NYCT_4092,40.860895,-73.822711,NA,23:58:00
01-06-2017 00:03,0,NYCT_4592,40.65855,-73.931111,01-06-2017 00:03,23:56:29
01-06-2017 00:03,0,NYCT_4592,40.65855,-73.931111,01-06-2017 00:03,23:56:37
01-06-2017 00:03,1,NYCT_4847,40.652561,-73.886034,01-06-2017 00:04,00:05:22
